2216627192	E8qsNpqQ5	柠檬黄莲味中秋	NULL	Lemon flavor berbetine Mid Autumn Festival
2243654487	E8NZ0rQ05	  经过一个小长假，电信诈骗罪犯似乎又出新招，利用伪基站或者是以旧换新苹果手机等手段进行诈骗，诈骗案例层出不穷，不仅是因为这些罪犯的手段多样，而且 是因为他们善用各种各样的热点，让人防不胜防。	NULL	After a small holiday, telecommunications fraud criminals seem to have new tactics, the use of pseudo base or old for new Apple mobile phone and other means of fraud, fraud case is not only because these criminals emerge in an endless stream, a variety of means, but also because they use a variety of hot spots, make people impossible to guard against.
2243807243	E8XtRBS7V	香蕉姐Sarah Paulson凭借《美国犯罪故事》获得限定剧/电视电影类最佳女主。[赞]	NULL	Banana sister Paulson Sarah by virtue of the "American crime story" to get a limited drama / TV movie category of the best female master. [praise]
2244224323	E8RXR7dG3	『为什么法国女人总是那么美？』	NULL	Why do French women always so beautiful? "
2244367010	E8SIwyYsA	大神在水上直接画出了一支玫瑰，看完后给跪了！！！	NULL	God in the water directly draw a rose, after reading to kneel!!!
2244385930	E8rj4kaOR	我参与了 发起的投票 【大家最喜欢谁的角色？】，我投给了“杨洋”这个选项。你也快来表态吧~	NULL	I was involved in the vote, who is the favorite character? I voted for the "Yang Yang" option. And you come to the position.
2244594832	E8Ktp8Z8A	分享图片	NULL	Share pictures
2245335650	E8zwx0mZF	高原是你的脊梁 白云是你的羊群<br/>蓝天是你的牧场 神鹰引你盘旋飞翔<br/>像阳光一样温暖我的心房<br/>你那圣洁的目光<br/>像月光一样映照我的梦想<br/>我的梦想	NULL	You are the backbone of the Baiyun plateau is your flock <br/> sky is your ranch Condor circling <br/> you like sunshine warm my heart <br/> your holy <br/> look like the moon shine my dream my dream <br/>
2245383085	E8PilyjI3	我觉得自己看眼色的能力真的冲破天际，真想上天[doge]，我都羡慕我自己[doge]，我怎么这么聪明[doge]。反正总有人倒霉，那为什么不能是别人[doge]	NULL	I feel the color really broke through the sky, really want to God [doge], I envy my [doge], I am so smart [doge]. Anyway, some people are unlucky, then why can not be someone else [doge]
2247616362	E8dE0haxF	如果不是梦到你离开我会那么难受，早已经以为现实生活中的习以为常就是不难过。	NULL	If I did not dream of you to leave I will be so uncomfortable, has long been thought that the real life is not sad.
2247660121	E8L9lu3ww	心慌方，完美陌生人，电话亭，活埋，深海女皇———	NULL	Flustered, perfect strangers, telephone booths, buried alive, deep sea empress -
2247710337	E8Omm3F6M	假期睡不着，上班睡不醒[哀伤] 分享单曲（）	NULL	Can not sleep, go to work to sleep not wake [grief] share single ()
2248159701	E8IjWrSRK	明天又该上班了国庆还会远么[doge]	NULL	Tomorrow and the work of the national day will be far away from it [doge]
2249018984	E8GDxsh8T	总会有那么一个人成为你的例外 [气球] &gt;&gt; 《告白气球》-渴望行走的鱼。&gt;&gt; (来自)	NULL	There will always be someone who will become your exception [the balloon] &gt; &gt; the advertisement balloon. &gt; &gt; (from)
2249185844	E8OAoAl2M	分享图片	NULL	Share pictures
2249191690	E89VV5PkP	分享图片	NULL	Share pictures
2249257135	E8OIix4bA	 时光飞逝，今年已经过了3/4，看了下作者菌今年的更新进度，才2章！[晕]还能期待接下来的1/4日子里还会有更新吗？[可怜][伤心]	NULL	Time flies, this year has passed 3/4, see the author of this year's update progress, only 2 chapters! [halo] can expect the next 1/4 days will be updated? Poor sad. []
2250576052	E8QV8DdQy	完了爱上张予曦了。。。鱼痒痒什么鬼，有叫男的小雨学长的吗？	NULL	Zhang Yuxi has finished love... What is called ghost fish itch, Rain Man seniors?
2251105333	E8KDVlAhX	是谁在诋毁我在师妹心目中的形象[doge]	NULL	Who is my sister in vilifying image [doge]
2251921667	E8TrwAPcG	人渣【【车神】小车司机因高速随意变道造成1死8伤重大交通事故被刑拘】 	NULL	[[] cheshen scumbag car driver for high speed change caused 1 dead 8 injured major accidents jingfangxingju]
2252466942	E7XZKA58y	“害怕’枪打出头鸟’的人，迟早会意识到，不出头并不意味着更安全，而是意味着打击来临之时，你却毫无抗拒之力。”[微笑]虽没那么严重，我现在算是体会到了！麻烦开始的时候，才是掐死的最好时机，没有之一！毕竟揣着大学毕业证却还跟小学生一样非要你点到脸上才自觉的人比比皆是！[打脸][打脸]	NULL	Fear of 'gun' people, sooner or later will realize that not only does not mean that more secure, but means that the arrival of the attack, but you have no resistance." [smile] although not so serious, I now calculate is realized! When the trouble starts, is the best time to strangle, no one! After all, Chuaizhuo university diploma but also with pupils to you to face to the conscious person meet the eye everywhere! [face] face.
2252762182	E7XiVAchQ	那好吧1406【牛奶炖花生】1.将枸杞子﹑花生米洗净，银耳洗净泡发，掰成小块。2.锅放火上，牛奶倒进去。3.把花生米倒进去。4.枸杞子和银耳放到锅里。5.锅中放一块冰糖，小火慢慢煮。6.煮至花生米熟烂。	NULL	Well 1406 [] 1 Peanut Stew milk medlar, peanuts washed, washed hair bubble, broken into pieces. 2 pot set on fire, pour in the milk. 3 pour peanuts. 4 medlar and Tremella into the pot. 5 pot put a piece of candy, a small fire simmer. 6 cook until cooked peanuts.
2253033495	E8HyT6HHj	读读诗吧[可爱]	NULL	Read the poem [cute]
2253046634	E8JWimg8G	年底要攒钱和爸爸妈妈争取去欧洲自由行！[傻笑]和这个小鬼约定好等他上小学去泰国海滩嗨！[害羞] 	NULL	At the end of the year to save money for mom and dad to go to Europe for free! [laughs] and this kid he agreed on primary school to Thailand beach! [shy]
2253124325	E8O928XZt		NULL	
2254595207	E7Yzl0Vvb	果然成年人只看利弊 所有胡闹都只是为了一己私欲 在利益面前去他妈的亲情 去他妈的人命 去他妈的对错 我不想懂太多也不想见太多 我还年轻。 分享单曲（）	NULL	As adults only weigh the pros and cons of all mischief are only to their own desires to his mother in front of the interests of the family go to the fucking life fuck wrong I don't want to know too much, do not want to see too much when I was young. Share single ()
2254817021	E8Ok5FABo	防火防盗防傻X[草泥马]	NULL	Anti fire security silly X[-]
2254878984	E8uE285mh	尼玛！每次订包厢唱歌[卡拉ok] 都被别人放鸽子[小鸟] ，昨晚过生日，居然有4个人放我鸽子[小鸟] ，真是一万个草泥马！ 祝自己生日快乐吧！	NULL	Fuck！ Each set box singing karaoke] [are others [dove] bird birthday, last night, I have 4 person on my dove [] is really a bird, ten thousand -! Happy birthday to you!
2254958737	E8TC07Lkm	大晚上的好兴奋哦[爱你][爱你]	NULL	The big night so excited Oh [I love you]
2255426010	E8SPuCcfE	我参与了 发起的投票 【九月份内地最受欢迎男歌手】，我投给了“黄子韬”这个选项。你也快来表态吧~	NULL	I participated in the launch of the vote in September, the most popular male singer in the mainland, I voted for the "yellow" option. And you come to the position.
2255630442	E8PbdfoNo	他们随地吐痰 他们乱扔垃圾 他们满口污言秽语 但他们爱国	NULL	They spit them littering their foul mouthed but they are patriotic
2255944331	E8vFYn11S	月季种成了菊花[泪]	NULL	Rose species became chrysanthemum [tears]
2256113461	E8z1Rre8v	 	NULL	
2257317804	E8KET2Y8k	忍不住领取了  的【领取该劵享受烫染8折优惠】，看起来真心不错，你们也来看看吧！ 	NULL	Could not help but for the [receive the coupons enjoy 20 percent off preferential perm], looks really good, you have to look at it!
2257523782	E8WDwxCWx	低调晒欧气！讲真，我人品好起来我自己都害怕！	NULL	Low key! To tell the truth, I'm good. I'm afraid of myself!
2258171830	E8Jgj6bj0	不乱跑，自己在家烤肉吃[耶][耶][耶]看着一般，味道不赖[馋嘴][馋嘴][馋嘴]	NULL	Don't run around their eating barbecue. Yeah, yeah yeah [] look at home, taste good, greedy, greedy greedy []
2258512461	E8vZeeE4l	看最后一段，这脑子进水的让我想起吴军机。	NULL	Look at the last paragraph, this mind reminds me of Wu military.
2259118897	E8gehC3PW	在高铁上看釜山行小心脏快要吓死鸟(⁍̥̥̥᷄д⁍̥̥̥᷅ ू )	NULL	See Busan small bird in the high iron heart almost scared on (to been been been been been been)
2259421705	E8zsr7rrX	“别哭 别喝酒 别在夜里吹冷风 也别来找我”“新婚快乐[红心]”	NULL	"Don't cry not to drink at night also don't blow away from me" "happy marriage [red]"
2259538310	E8qO7pFVS		NULL	
2259554000	E8zPzsr8s	中秋节，吃药比吃月饼还要多[眼泪]	NULL	Mid Autumn Festival, take medicine more than eat moon cakes [tears]
2259694304	E8sP8cl1r	OMG看完黑粉居然被灿烈给苏了一脸[doge][doge][doge]剧情狗血忽略不计颜值即正义_(:зゝ∠)_然后重温了一些茶蛋以前的mv又被以前青涩的鹿鹿苏一脸_(¦3」∠)_哦妈呀每天告诫自己一百遍不要沉迷于男色	NULL	OMG after the black powder was chanyeol to sue a face [doge][doge][doge] plot neglected justice value idea Yan _ (his / _: 3) and then revisit some tea eggs before MV was used Lusu face green deer (3 / _ fields ") _ Oh mama don't warn myself everyday one hundred times addicted to videotape
2259776830	E8QXEEXWZ	哈哈哈	NULL	Ha ha ha
2259781670	E8Bi14gYf	好好的人阿，说没就没了，我还记得当年还是小屁孩儿的我为了他认认真真攒零花钱去看好男儿演唱会，我记得当天穿的每一件衣服，记得当时早早等在体育馆门口只是为了提前看他一眼的心情。当年因为一首拥抱入坑，虽然脱粉了很久了，仍然在家哭成了傻比。再见，乔任梁。再见，我的青春。	NULL	A good man, I say no, I remember when I was little fart to him seriously to save pocket money to watch my hero concert, I remember every day to wear clothes, remember early at the entrance of the stadium is to advance him a glance mood. That year because of a hug into the pit, although the powder for a long time, still at home crying into a silly ratio. Bye bye, Qiao Renliang. Goodbye, my youth.
2259966272	E8hoX28fh	明天中秋，节日快乐〜晚安〜	NULL	Tomorrow is the Mid Autumn Festival, happy holiday ~ ~ good night
2261640454	E8vrvhosV	分享图片 	NULL	Share pictures
2261757993	E8Gca6YDA	铁心为你，铁心伴你成长，铁心我的爱！愿宝贝能吃到 铁釜电饭煲煮的香喷喷米饭！  	NULL	Core for you, the core with you grow, the core of my love! May the baby can eat iron kettle cooker cook delicious Steamed Rice!
2261896712	E8L2uBabg	九一八	NULL	918
2261994242	E8WoHjBQl	morning……	NULL	Morning......
2262063812	E8RKtamy9	上班，游戏，小说。[拜拜]	NULL	Work, play, novel. Bye bye []
2262179693	E8TfNtne0	 超级困的躺在床上等着trailer也是蛮拼的还有15分钟啊啊啊快点出来吧真的好困也许看了预告我就不困了[哆啦A梦汗]	NULL	Super trapped in bed with trailer is pretty fight 15 minutes ah come out of it really trapped may see notice I'm not sleepy [A dream sweat]
2263037374	E8JrCy6Gj	【番茄安利时间】<br/><br/><br/>点了最爱香辣牛杂锅，含牛板筋＋金钱肚＋牛肠＋牛肺＋牛肝，汤汁浓郁，金钱肚和牛肠完美！牛肺去腥不彻底，牛肝牛板筋口感一般，加了毛肚竹荪土豆，送萝卜。两人吃（像我这么能吃的）绝对够了。<br/>位置：朝阳门悠唐四楼 	NULL	[Amway] <br/><br/><br/> time tomato most spicy beef offal AI Xiang pan, bar + money belly + + + bovine intestinal bovine bovine liver, beef containing rich soup, pork tripe and bovine intestinal perfect! Bovine fishy is not complete, bovine liver bull backstraps taste, add duck Dictyophora potatoes, send radish. Two people to eat (like I am able to eat) absolutely enough. <br/> location: Chaoyangmen Yau Tang four floor
2263248435	E8skRvByQ	中秋快樂(≧ω≦)/雖然沒有買到月餅但是居然玩出了跨年的感覺[笑cry]走得腿斷的夜晚 煙花節快樂～ 	NULL	Happy Mid Autumn Festival (= omega = /) although not buy moon cake but actually play out new year feeling [laughs cry] go happy legs night fireworks festival ~
2263719404	E7YGOjfry	[g][r][e][a][t]你说牛不牛呀，做梦都想早点看到影片&lt;窃肤之爱&gt;。	NULL	[g][r][e][a][t] you said cattle are not cattle, dream to see the film as soon as possible &lt; steal skin love &gt;.
2263774452	E8HHcsXxW	论迷妹的自我修养[兔子] 	NULL	On the self accomplishment of the lost sister [rabbit]
2263843147	E8PHZlTLk	 亲爱的污姣，生日粗卡[鲜花][心][蛋糕]	NULL	Dear. Jiao, happy birthday to you [] [] [] flower heart cake
2263918902	E8Sy1kjvx	世界第一可爱真的棒呆了[心]	NULL	The world's first lovely really great to stay [heart]
2264152610	E85TdAx82	我分享了 的文章 	NULL	I share the article
2264551053	E8qjsxrFm	今年中秋又没回家，又不能看家里“拜月娘”，那个往年这天晚上都会发照片的同学你今天不发了吗	NULL	Mid Autumn Festival this year did not come home, and not in the house to "worship the mother, the previous evening will send photos of your classmates today do not
2264570082	E8pJam3DE	心肝宝贝酱[色]	NULL	Honey sauce [color]
2264710627	E8OWGhM6P	我可紧张地等了一上午防空警报，结果没拉？？？	NULL	I was nervous to wait for a morning raid warning, the results did not pull?
2265004621	E88696BAZ	我看到你的时候就知道，我又做梦了。	NULL	When I saw you, I knew I was dreaming.
2265063935	E8JgZld74	今天我的「微博等级」又升一级，记录一下我在微博的成就	NULL	Today, my "micro-blog grade" or another level, to record what I have achieved in micro-blog
2265295433	E8TlWid5R	体能拖垮球队，下半时如同梦游(同步自)	NULL	The second half team physical collapse, like sleepwalking (self synchronization)
2265325232	E8xFyfQM8	旅完游回来发现桌上的书我都不认识它们了 [doge]	NULL	I don't know the books on the table. I don't know them, [doge].
2265334452	E8gdU3rDs		NULL	
2265494807	E8IsmANs6	请记得我有多么的爱你[爱心发光]	NULL	Please remember how much I love you [love]
2265693150	E8iSTo5ZC	看了釜山行和熔炉，真的爱上了孔刘[鲜花]，我原来也有喜欢大叔的时候啊~期待11月《鬼怪》[good]	NULL	See Busan and forge, really in love with Ggong [I was] flowers, when love uncle ah ~ "ghosts" is expected in November [good]
2266003764	E8JAXqxo6	今天晚上万里无云，月亮又大又圆	NULL	Today, cloudless night, the moon is round and big
2266160994	E8QKOkFvm	我发表了头条文章:《鲁迅终于滚蛋了！！！》 	NULL	I made a headline article: "Lu Xun finally sacked!!! "
2266495877	E8QX5w8Nz	快来和我一起变身动漫主角吧！	NULL	Come and join me in the cartoon character!
2266903727	E7YZH8a5J	🔹3.5	NULL	3.5
2267296324	E8q1Cekpo	我爱[爱心]️可丽 	NULL	I love [love] up cleaf
2267598715	E8xMwh3fL	蓉城记忆 	NULL	Chengdu memory
2267601930	E8uwwqFEI	翻了这么久，今天可算是觉出点意思啦[太阳][太阳][太阳]	NULL	Over such a long time, today is aware that something of it. [] [sun sun sun]
2267856791	E8mze5oUJ	我曾获得过褒奖但是没有创造过奇迹。我已经觉出来这学年将会是二十几年来最忙碌也是最能验证未来的一年。我要努力，全为父母[拳头]🏻[拳头]🏻[拳头]🏻[给力][给力][给力][哈哈][哈哈][哈哈]中国再见，济南再见！[爱你][爱你] 	NULL	I have won the praise but did not create a miracle. I have come to feel that this academic year will be the busiest and most validated in the coming year. I want to work for all parents [] [] fist fist [fist] [awesome, awesome, awesome, ha ha ha ha ha ha, []] Chinese goodbye, goodbye Ji'nan! [I love you]
2268546030	E8371bm6P	收下舞台女王的安利和一起嗨	NULL	Take the stage Queen's Amway and hey
2268797723	E8TfnqeXz	推——》伦 敦 生 活。	NULL	Push - London life.
2268858813	E8S3Yzv3Z	只要升等级就有福利享，变身土豪就靠它，想想就有点小激动呢[太开心]小伙伴儿们速来围观，领取你的吧	NULL	As long as there is welfare level rise, turned the nouveau riche depends on it, think about a little excited about it [happy] too small children who come to the onlookers, receive you.
2269135734	E8B3VwDxW	笑起来超好看，曾经很喜欢，可是。。。	NULL	Laugh up super good-looking, once liked, but...
2269276050	E8waGju8a	时间磨去了我的棱角， 教会了我低调， 原来， 一些幸福，也无需分享。	NULL	Time lost my edge, taught me a low-key, original, there is no need to share some happiness.
2269413200	E8q6wvILV	今天撩了个妹[哈哈][哈哈]在家团圆倍感幸福[可爱]中秋快乐[爱你] 	NULL	Today, a sister Liao [HA HA] in the family reunion feel happy [lovely] Happy Mid Autumn Festival to you.
2269435567	E8cacvPcJ	我在会员中秋专享活动中领取了粮油调味品100元优惠券。现在充会员还可参加幸运转盘抽奖，奖品和福利多多！微博会员速来领取吧 &gt;&gt;	NULL	I received a 100 yuan coupon in grain and oil seasoning member exclusive activities in the mid autumn festival. Members can also participate in the lucky draw, prizes and a lot of benefits! Micro-blog member speed to receive it &gt; &gt;
2269443060	E8O1i14qd	起这么早就为了被骂[拜拜]	NULL	So early to scold [].
2269755255	E8SR9sTo4	好饿 所以早睡	NULL	Hungry so early
2270169501	E8DTy6iaK	在家的中秋节～～ 	NULL	Mid Autumn Festival at home
2270330350	E8IdXFOZn	为什么都要排队拍布朗熊的正面啊，明明觉得大屁屁更可爱[色]甜点有颜又好吃[冰淇凌] 	NULL	Why should Brown take positive line bear ah, obviously feel that big ass [color] more lovely dessert and delicious ice cream. []
2270362084	E88pCacYP	老九门 就这样 没了！[心碎]	NULL	The old nine door so lost! [heart]
2270708352	E8XPB8ljQ	随手一抽，幸福满满！我刚在 的红包中抽到了结婚礼金哟~还不赶紧抽个红包沾沾好运！	NULL	With a pumping, happiness! I just got in the red wedding gifts yo ~ not to draw a red envelope with good luck!
2270972335	E8vub4FwJ	剛睡醒就看到驚喜   這個我愛了六年的男人   早安	NULL	Just woke up to see I love surprises of a six year old man.
2271269341	E8STuxvbH		NULL	
2271764954	E8KoImwnX	有多少人和我一样，看到昨天的新闻，又点回去听了The last. 看了眼网易云评论，大家都在说感谢你当时坚持了过来，还好你没事。再看一遍还是心情复杂，myk你健健康康就好。	NULL	How many people and I like to see yesterday's news, but also a bit back to listen to the last. The look at the eyes of the NetEase of cloud comments, we are said to thank you at that time insisted, but fortunately you have nothing to do. See again, or the mood is complex, MYK you health is good health.
2272133467	E8KHU3SZB	余罪第二季感觉没有结局应该还有后续吧 	NULL	More than second season feeling no ending should have the outcome of the follow-up bar
2272350241	E8yvvDRua	小龙女她娘鸟巢摆擂给闺女招亲[吃惊] 	NULL	Her mother gave her nest Helen of Troy Bailei Zhaoqing [surprised]
2272370821	E8RUGBL1H	分享图片	NULL	Share pictures
2272594355	E8frhn8O1	我要把我所有的钱都买包买衣服买化妆品这样我就没钱吃饭了。 	NULL	I want all my money to buy a bag of clothes to buy cosmetics so I have no money to eat.
2273908052	E8KK7swJ0	我真的觉得我有病……从今天开始就睡不着觉……	NULL	I really think I'm sick...... You can't sleep from today......
2274344521	E8OH06A01		NULL	
2275341552	E8Qpq9ImF	回家过了个节日之后，感觉食欲和饭量又回来了了。又到了减肥拼毅力的时候。。。	NULL	After returning home after a holiday, feeling back the appetite and appetite. And to lose weight when the time to fight...
2275605825	E8VoWz1DE	浅黛如水，柔眸微启，斜倚轻风里，淡看花开花落  	NULL	Diane shallow water, soft eyes weiqi, leaning breeze, Dankan flowers bloom
2276264905	E8fWLFOWX	一款能与您结下温馨羁绊的女性向换装手游，快来挑战我吧~！	NULL	A knot with your warm fetters women to dress Mobile Games, quick to challenge me!
2276352293	E8J9IpZMq	清流水韵 	NULL	Clean water rhyme
2276419661	E8qpQvOxL	生日快乐baby[爱心]要一直幸福快乐[星星]顺便秀自拍[害羞]（误）	NULL	Happy birthday baby[love "to have been happy [star] by the way show self time [shy] (by mistake)
2276770170	E8qcJ2HR7	中秋快乐美满，愿一切都好🌕	NULL	Happy Mid Autumn Festival, may all good
2277065952	E8T1ZmSNv	过敏，吃了脱敏药没效果，到医院打脱敏针，一个挺漂亮的小护士问我怕疼吗？这时候能说怕疼？那不白瞎了我这体格了？当下挺了挺胸脯，又收了收肚子，把手一挥“不怕”！谁成想她一转身，给我换来个实习生！现在这屁股疼的啊！疼的老子想杀人！	NULL	Eat no allergies, drug desensitization effect, to the hospital to play a desensitization needle, pretty little nurse asked me pain? At this time you can say pain? That's not blind. The pretty chest, and received a collection of stomach, "not afraid of a wave of his hand"! Who would have thought she would turn around and give me a trainee! Now it hurts! I want to kill the pain!
2277629297	E8AGe6Dvy	又得多少女粉会哭死『网曝乔任梁上海死亡 身上有伤疑为自残_手机新浪网』	NULL	And how much will cry "female powder net exposure Qiao Renliang died in Shanghai injured suspected self mutilation _ sina.com.cn 'mobile phone
2277633460	E8QZUbS90	分享视频   .	NULL	Share video.
2277900451	E8JuewvXc	寻找薇薇安迈尔，她拍了那么多照片，她观察人们的生活，喜怒哀乐，爱他人，通篇讲的都是自己的孤独。	NULL	For Vivian Maier took so many photos, she, she observed the life of people, the passions, love others, the whole story is my loneliness.
2278002874	E8FmbaWRI	送给首页<br/>共勉	NULL	To encourage home <br/>
2278079104	E8qnsstol	[星星][星星][星星][星星]，挺适合与闺蜜一起看，有笑点有泪点，周冬雨马思纯演技不错，对于贱男，父母和闺蜜才是陪你走到最后的人。	NULL	[[] [] [] the stars stars stars stars], very suitable for watching with bestie, there are tears bursting point, Dongyu Zhou Ma Sichun's acting is good, the bastard, parents and bestie is to accompany you to the last man.
2278199171	E8yUverOT	为什么，天还会热[泪][泪]	NULL	Why, days will be hot tears tears [] []
2278450333	E8FZa58uP	转眼间就大二了，看着军训的新生仿佛就是在看着一年前懵懂的自己。依偎在父母身旁的日子好像就是在昨天。父母一点点变老，我们身上的责任越来越多。渐渐的，90后也成为了社会的中流砥柱。怀念当初的自己，一切安好。	NULL	In the blink of an eye on the sophomore, watching the freshman military training is like watching a year ago my ignorant. The days that are close to their parents seemed like yesterday. Parents a little older, we have more and more responsibility. Gradually, 90 has become the mainstay of the society. Miss the original, everything is well.
