1688978637	E5PsWoYOV	水逆真的开始了	NULL	The water inverse really began.
1691429505	E5LxDul7R	不可信<br/>不可不信 <br/>不可说<br/>不可不说<br/>但是信了就傻逼不信又多疑<br/>说了就矫情不说也难受	NULL	Don't trust <br/> not to believe <br/> do not say <br/> do not say <br/> but believed to be false and suspicious <br/> idiot say it don't say.
1691538400	E5W2usORo	【爱德华诺顿】  Norton filmmix By Andorra Andorra  	NULL	[Edward Norton] filmmix By Andorra Andorra Norton
1691538400	E5lZ6q7gA	老实说挺怕呛水的，有点幽闭恐惧心理，看着池底然后不去想这件事，就正常想别的，那些自动跑进来的事物，好像会好点。美如画……啊，这些是什么，螺旋藻吗？“没有沿子怎么办？教你的动作为啥不用嘞！”唉，鳖都比我快，真的	NULL	Honestly very afraid of choking the water, a little claustrophobic fear, looking at the bottom of the pool and not to think about it, it is normal to think of other things, that automatically ran in, as will be better. Powervision...... Ah, what are these, spirulina? "How to do without the son? Why not teach you the action!" Alas, the turtle are faster than me, really
1692272694	E5CujEW0c	饮早茶[咖啡]	NULL	Drink tea [coffee]
1692653075	E5Ubav0Dj	 我的评分：★★★★ 还在哪里呢？以为和莫里斯是一种类型，并非。把三个裸男洗澡镜头无情删除了，不嗨心了  来自	NULL	My score: where assumes still? Think and Maurice is a type, not. The three lens naked bath ruthless deleted, not from the heart.
1692653075	E5GkhjdLa	爱你哟	NULL	Love you yo
1692765847	E5KXNnDPb	这两天做梦简直脑洞大开啊。梦到进实验室（我长这么大进实验室的次数真是屈指可数）然后开始做化学实验。。。重点是我在梦里很认真地思考，金属置换反应是不是在浓酸里反应不了。。。然后居然还梦到要闻浓盐酸。。。我大概有毒。。。	NULL	This two day dream is just a hole in the brain ah. Dream of entering the laboratory (I grow so big into the laboratory is very few times) and then started to do chemical experiments... The point is that I think very seriously in the dream, metal displacement reaction is not in the concentrated acid can not react... Then even dreamed of news of hydrochloric acid... I'm probably toxic...
1692765847	E5xYgcP5c	有个构思，一个美食博主四处觅食，遇见不同的人，吃不同的食物的系列故事。0.0会不会太俗套啊，会想看嘛。。。？	NULL	There is an idea, a food blogger around the food, meet different people, eat different foods series of stories. 0 will not be too cliche ah, would like to see it...?
1697176775	E5EvzabhN	愿生命化做那朵莲花 功名利禄全抛下 让百世传颂神的逍遥 我辈只需独占世间潇洒 告别无休的征战 告别不息的厮杀  用血泪换一个千古神话	NULL	May life do the lotus leave to high official positions and riches of God told us at BES only exclusive world restless in casual farewell farewell endless fight with blood and tears for an eternal myth
1697176775	E59Yg57L0	25～28集完结，	NULL	25 ~ 28 sets end,
1697434957	E5RRIqfOA	床前明月光，地上鞋两双。	NULL	The Moonlight before the bed, two pairs of shoes.
1697434957	E5EZtpcn8	还是当皇上好，吃喝拉撒睡，有人管。每天到了吃饭点，总是恐惧，吃啥？就那几样。连阿姨，都没换过。[抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][泪][泪][泪][泪]	NULL	When the emperor is good, eating and sleeping, some pipes. Every day to eat a point, always fear, eat what? Just a few samples. Even aunt, have not changed. [[] [] [] crazy crazy crazy crazy crazy crazy crazy [] [] [] [] [] [] [] tears tears tears tears]
1698036244	E5WrSBptF	钟哥你要保佑我能请下假来[泪]可我实在想不起来什么合理的理由怎么办，要不要实话实说[傻眼][傻眼]	NULL	You can bless my brother clock next to leave [tears] I can't think of what reason do not tell the truth, [] [] was dumbfounded
1698041830	E5FWJxrFo	对于阅尽言情，种田，宅斗，穿越，重生，高干，都市，军旅，仙侠（分类或有重复）小说的我，本人最爱的小说男主前三为，肖奈，贺迟和謝云书，排名不分先后。 	NULL	To read the best of romance, farming, house fighting, crossing, rebirth, senior cadres, city, military, Xian Xia (classified or duplicated) of the novel I, my favorite novel male before three, Xiao Nai and Xie Yun, he later book, in alphabetical order.
1698140161	E5eRFD6tB	 仙气十足的龙妈VS乡土气十足英国村妞。。。艾米莉亚·克拉克主演的这部新电影牺牲还是挺大的。	NULL	Fairies full of dragon mother VS Xiang country British village girl... Amelia Clark's new film, the new film, was a big sacrifice.
1698247812	E5wuBCG1a	龟仙人如是说。	NULL	Kame Sennin said.
1698247812	E52M1agcC	充实自己🙄️	NULL	Enrich your up
1698395880	E5WssmDee	Say goodbye to my junior life .. Hello! my senior! [兔子]	NULL	Goodbye to Say my junior life my Hello! Senior! [rabbit]
1698395880	E5QW330kn	It's a busy day...and i need to stand here to make the plan.	NULL	A busy day and need I to stand here to make the plan. It's
1699619663	E5efAqHT8	刚到家。。。打开灯一看。。。门上扣满了愤怒的小鸟。。。[笑cry][笑cry][笑cry]今晚就我自己在家！耶[胜利]，吃饭洗澡刷剧睡觉～	NULL	Just got home。。。 Turn on the light... The door is full of angry birds... [laughs cry][laughs cry][laughs cry] tonight on my own at home! Yeah, "victory", eat bath brush play sleep ~ ~ ~ ~ ~ ~ ~
1699634093	E5owCam2F	“做个王八蛋，好好谈恋爱哈哈”	NULL	"Be a bastard, love haha"
1699634093	E55309FZR	多年以后，我终于明白这个道理 想约你见面的人，春夏秋冬都有空， 想送你回家的人，东西南北都顺路， 想陪你吃饭的人，酸甜苦辣都爱吃， 想陪你聊天的人，昼夜朝夕都在线。	NULL	Many years later, I finally understand the truth about you want to meet the person, are free of seasons, you want to send people back home, all the way to the four corners of the world, and have a dinner with you, sour, sweet, bitter, hot favorite, want to accompany you to chat with people all day and night, day online.
1699635312	E5Q0aweU1	海底捞小哥真的是拉面师傅里跳舞最好的[傻笑] 	NULL	The sea brother is really Hand-Pulled Noodle master dancing in the best [laughs]
1699635312	E5Ggb7CDd	分享图片 	NULL	Share pictures
1700605682	E5ujTA8Ne	 我在  韩国榜上为你加油啦，你是我今生唯一的执著哦。棒棒哒！	NULL	I cheer for you in Korea and it is the only G B, you like my life oh. Awesome！
1701036275	E5HKBj92s	只跟親近的人道晚安吶~	NULL	Just to close the humane good night Na ~
1701036275	E5g1hri3t	社交軟體不社交	NULL	Social software is not social
1701443730	E5QLHeHhb	#food 	NULL	#food
1701443730	E5Pqtj4e3	恶心 感冒 那个黑糖有那么难喝吗 [泪]	NULL	The cold sick so hard brown sugar to drink [tears]
1701860691	E5OL9qe1q	不要跟野鸡大学毕业生打交道。血泪教训。[微笑][微笑][微笑]	NULL	Don't deal with the pheasant university graduates. The lesson of blood and tears. Smile, smile, smile []
1701860691	E5xkidL0j	领导说，小X啊，你要学会喝酒啊，大学生应该是喝酒很厉害才是，你看今天坐你对面的两个大姐，她们多能喝，我说不敢不敢，你看我这脸，一喝就烂[哆啦A梦汗]然后我放下手机，把二锅头瓶子丢进了垃圾桶[哆啦A梦汗][哆啦A梦汗][哆啦A梦汗]	NULL	The leader said, small X ah, you have to learn to drink ah, students should be drinking is very powerful, you can see the two sister today sitting across from you, they can drink, I dare not say, you look at my face, a drink on the rotten [A dream sweat] then I put down my mobile phone Erguotou, put the bottle into the garbage [A Doraemon, Khan A Doraemon, Khan A Doraemon Khan]
1702897391	E4Ve1jR6t	现在，我的右手成香饽饽了。哪怕从她屁股上薅下来的猫屎都恨不得舔两口。	NULL	Now, my right hand into the meat and potatoes. Even from the bottom to pull down her cat feces are anxious to lick two.
1702931637	E5Imsq92H	失眠[哆啦A梦吃惊] 	NULL	Insomnia [A dream.
1704630111	E5HslhBhZ	我应该是个男的，不然为啥我用照片淘宝搜衣服出来的全是男的，七分袖针织衫是男的，衬衫还是男的，你啥意思啊～故意跟我作对是吧～用照片搜了半天……还没搜到，再出来不是我的菜，就……卸了重装淘宝～就这么有骨气～[哼]	NULL	I should be a man, or why I use Taobao search photos out of the clothes are all men, seven sleeve shirt or sweater is man, man, what do you mean ah ~ ~ deliberately against me is searched with photos...... Still not found, then come out is not my dish, just...... The unloading reloading Taobao so spineless ~ ~ [sing]
1704630111	E5ufiDGS0	不要评价别人的好坏，因为他们并不影响你吃饭，不要评价别人的德行，因为你不见得比他更高尚。不要太过张扬，珍惜你的世界，陪你最多的人还是你自己，要明白没有一个人会比你更弱小。记住，你就是个普通人，做人低调一点。	NULL	Do not judge others for their good or bad, because they do not affect you to eat, do not judge the virtue of others, because you do not have more noble than him. Do not be too assertive, cherish your world, to accompany you the most people or yourself, to understand that no one will be more powerful than you. Remember, you are a normal person, a low-key life.
1704820504	E5Uzf14H7	 	NULL	
1704820504	E5tNZw2hT	爱旅行的人运气都不会太差！我在带着微博去旅行 的红包中抽到了 提供的“滴滴秋游券”，快上车，带你遇见最美的世界！	NULL	People who love to travel will not be too bad luck! I took the micro-blog to travel to the red smoke "drops of autumn ticket", come on, take you to meet the most beautiful in the world!
1704935052	E5QauzuOg	[嘻嘻]	NULL	I want.
1704935052	E5N3R4euk	今天我的「微博等级」又升一级，记录一下我在微博的成就	NULL	Today, my "micro-blog grade" or another level, to record what I have achieved in micro-blog
1705293265	E5OGl19yT	火锅和面食我真的是毫无兴趣，饿得不行没啥吃可以吃两口，其它时候真的我看你们吃就好啦[白眼]	NULL	I really Hot pot and pasta is of no interest, not hungry nothing to eat can eat two, other times I really see you eat it [eyes]
1705293265	E5pRTBVVN	佛教寺庙有没有像教堂那样出现比较现代的造型？ - 回答作者：「九橙九橙」（想看更多？下载知乎 App：）	NULL	Buddhist temples have not appeared like the Church of the more modern shape? - answer the author: "nine orange nine orange" (want to see more? Download know almost App:)
1705441721	E5QoiEdlK	连萍水之交的人都能一下点破的道理。为什么自己总是想不清楚。只不过还是逃避	NULL	Even Ping water at the turn of the people can point out the truth. Why you always want to do not know. Just to escape
1705441721	E5bGKzV3p	从前的日色变得慢      车，马，邮件都慢      一生只够爱一个人  　　 	NULL	The day before the color becomes a white horse, the horse, the mail is slow life only enough love a person
1706021394	E5tdsywCm	事实上，机场比婚礼现场见证了更多真挚的亲吻，医院的墙壁比教堂聆听了更多的祷告 	NULL	In fact, the airport has witnessed more sincere kisses than the wedding scene, and the walls of the hospital are more than the church to hear.
1706192382	E5xWgFnSx	很多苦难只能自己扛，和别人说也理解不了[悲伤]	NULL	A lot of suffering can only carry on their own, and others said it could not understand [sorrow]
1706343073	E5U1ckhHa	今天也要加油[加油机][奥特曼][奥特曼][奥特曼][奥特曼]	NULL	Today have to refuel refueling. [] [Altman Altman Altman] Altman [] []
1706343073	E54N64mhd	我的少女心都要炸开了，太苏了	NULL	My young girl's heart is going to explode, it's too Sue.
1706919865	E5NAYshh9	能真正爱上的是魅力 从来不是颜值 哎 看来我彻底不是个外貌控🙄	NULL	True love is never value ah Yan Charm I completely is not a appearance control
1707081791	E5FtO9Skh	【“败家的乌克兰又开始糟践家底了”战略轰炸机“挂购物网站拍卖”】信民主的能好么 	NULL	["Prodigal Ukraine began to waste money" strategic bomber "hang shopping website auction] can you believe in democracy
1708283615	E5PlkrIRs	小时候，我最喜欢我妈给我们兄弟几个做面疙瘩汤了。长大后发现，这道美食还是很美味！ 	NULL	When I was a child, I liked my mother to give us a few brothers to make a knot in one's heart soup. When they grow up, the food is delicious!
1708283615	E5PeSm7sW	很飘逸的云被吹散。。。 	NULL	Very elegant clouds were blown...
1708908881	E4ReHFfNe	练了两天车瘦了二斤了，这速度不错不错[doge][doge][doge][doge]	NULL	After two days lost two pounds, the speed of good [doge][doge][doge][doge]
1709087017	E58Uvcrws	“给我一个理由忘记”<br/>“...”<br/>“那么爱吃的你” 	NULL	"Give me a reason to forget" <br/> "..." <br/> "so love to eat you"
1710160084	E5mjBkQjR	无意中竟见到活的梦露，简直美翻了。真心不错的电影，经典。脸部特写的时候，就只看到她的眼，她的唇，她的笑，简直不能信有这么美的女人，拍上半身特写的时候，我就全程盯着她的胸了。胸。。。。。。声音，神态，我滴个妈呀，不可方物。	NULL	No intention to see the living Monroe, it is almost beautiful. Really good movie, classic. Face close-up, only to see her eyes, her lips, her smile, simply can not believe that there is such a beautiful woman, a bust of the time, I was staring at her chest. Chest...... I drop a sound, look, mom, not matter.
1710160084	E5ffuxxnT	天天被盛世美颜刷屏，我真的很难呼吸了好嘛！ 说话一丝不苟滴水不漏，做事很邪气我喜欢！！这个跟电影里还是挺大不同的！这个肖奈人格魅力爆棚了。。啥叫一字一句举手投足之间都帅啊[笑cry]孬孬的我最喜欢了！！[doge][doge][doge]	NULL	Every day was flourishing beauty scraper, it was really difficult for me to breathe well! Speak very strict in demands is watertight, evil I love!! This is quite different from the movie! The Xiao Nai personality charm bursting.. What is the behavior between every single word or phrase handsome ah cry] Nao Nao [laughs I love!! [doge][doge][doge]
1711672655	E5ebY8h8p	真是难过的眉头紧锁 不知道怎么办 疯掉了	NULL	It is sad to frown don't know how crazy
1712529495	E5oarzn8I	我要盖被子睡觉了，这温降的太狠了，好冷，如果开工的时候是这个温度那也蛮好的	NULL	I will cover the quilt to sleep, the temperature drop too hard, if the temperature is cold, it is fine to start time
1712529495	E53oLfayD	这家的饼好好吃哦，还有这些油炸小吃也好好吃，虽然经常吃油炸食品不好，但是我就控制不了，，最主要是这酱料好吃，老板说是自己家熬制的[赞]（地址：全椒南岳西路老八浴室旁） 	NULL	This cake is good Oh, and these fried snack or delicious, although often eat fried food is not good, but I can not control, is the most important, this sauce is delicious, the boss said to be their own home brewed [praise] (address: Quanjiao Road near the old Nanyue bathroom)
1714116840	E5wkAdlxp	最近强迫症又犯了[哆啦A梦汗][哆啦A梦汗][哆啦A梦汗] 下载音乐要改成规范的，系统应用要按照A-Z排序，安装应用要按照功能性-娱乐性排序，应用数量必须符合4*N，嗯，一年多没犯强迫症了，突然犯了，心累啊[kxl晕][kxl晕][kxl晕] 强迫	NULL	Recently made the obsessive-compulsive disorder [A Doraemon, Khan A Doraemon, Khan A Doraemon Khan] download music to change the specification, application system according to A-Z ranking, install the application to be sorted in accordance with the functional - entertainment, the number of applications must meet 4*N, well, do not make more than a year of obsessive-compulsive disorder suddenly, make the heart tired ah, [kxl][kxl][kxl halo halo halo] force
1714116840	E5cZeu8YX	一男子在衣服上贴满钞票，并挂着“请 - 热门 - 百思不得姐手机官网 	NULL	A man in his clothes on a full note, and hung up, please - Hot - one hundred think sister phone official website
1714474094	E5upGz6Gf	《家有儿女》是神剧。主演。配角。长大后全是演技担当。	NULL	"The family has children" is a God play. To star。 Supporting rule。 Grow up is all acting.
1714474094	E5svifmIe	《微微一笑很倾城》看热搜片花。都已经演到原著快一半了。还有10多集。改编些什么呢？	NULL	"Smiled very little" look hot search trailers. It's half done. There are more than and 10 sets. What do you adapt?
1715609597	E5UzH65te	胃里难受啊。。。[泪][泪][泪]~(&gt;_&lt;)~	NULL	The stomach uncomfortable ah... [[] [] tears tears tears ~ (&gt; _&lt;).
1715609597	E5TPZ11XU	我想要一个铁胃，怎么吃辣椒都不会拉肚子的胃[失望][失望][失望][失望]早安。。。唉！	NULL	I want an iron stomach, how to eat chili will not diarrhea stomach. [] [] [disappointed] disappointed disappointed disappointed... Oh!
1716151161	E5X4CEpbL	拖拉的结果就是：想法会变更多，人变得更神经，还没出发激情头儿就已经磨掉的七七八八！！！	NULL	The result is that the drag idea will change, people become more nervous, not of passion has worn assorted!!!
1716700953	E5e7E8qZK	《海盗战记》还是并不完全贴合史实细节啊，维京人以荣誉为根底，托尔芬真去舔哈夫丹的鞋子的话马上就名誉扫地，将来还怎么召集人手去文兰.....	NULL	"Pirates Senki" still do not completely fit the historical details, the Vikings as the foundation to honor Thor Finn to lick the shoes really. Halfdan immediately discredited, the future can also called hands to Wen Lan.....
1716700953	E516LC0gn	幕末基层御家人的年俸是白米75俵，而蒲甘朝一名马军的年俸禄是稻谷六百箩，折算白米年俸超过千俵了，当然蒲甘骑兵总共只有七八百人，在阶层上比普通御家人高多了	NULL	The royal family is an annual salary in the 75 rice table, and a Ganzhao Pu Ma annual salary is six hundred rice basket, rice more than 1000 annual salary conversion table, of course, the Bagan cavalry a total of only seven hundred or eight hundred people, the class is much higher than ordinary royal family
1716901992	E5TV9Azyg	从昨天到现在，就昨天早上吃了小半个玉米，喝了两口水，中午吃了个小面包，现在有点饿了，可不怎么想吃，我又创新纪录了，哈哈。	NULL	From yesterday to now, yesterday morning to eat half a corn, drank two slobber, at noon to eat a little bread, now a little hungry, don't eat, I record again, haha.
1717762274	E5VWBzy8E	dei!懒	NULL	Dei! Lazy
1717762274	E5PQwv5TE	太阳双鱼 上升双子 没吃药…勿扰…	NULL	The sun Pisces rising Gemini did not take medicine... Do not disturb...
1717934663	E5CuxdbxH	我想打会球，我想睡一会，还有论文要写，还有英语要看，还有建造师要考，还有驾照要考，还有托福雅思，还有课题，还有上课，还要跑步撸铁，还有软件要学……大概是这一年有得忙了	NULL	I want to play badminton, I want to sleep for a while, there are papers to write, and English to see, and to test the construction division, and driver's license to test, there are still issues, TOEFL IELTS, and class, still running line and iron, and the software to learn...... Maybe this year is a busy year.
1717934663	E4TnPzdX6	分享图片	NULL	Share pictures
1718650461	E5V9y57Cz	相机版的消息树。这周末去哪儿？ 	NULL	Camera version of the message tree. Where are you going this weekend?
1718650461	E5GqgnTsf	身为一条单身狗就是能做到咋样都不怕晒黑，我师父都认怂带着飞巾裹着脸，我说哪来那么多事儿，宝宝就爱小麦色。（其实我师父也没白到哪里去）不要问我搭档哪里去了…他拖着我的垫子跑到一个鸟特别多的地方趴着了…以及，红牛的作用是为了压住防潮垫。 	NULL	As a single dog is able to do what all not afraid of tanning, my master has recognized counseling flying with towel wrapped face, which I said to so much, baby love wheat color. (in fact, my master is not where to go) do not ask my partner where to go... He dragged me to a place where there was a bird with a special place... Well, Red Bull's role is to hold the moisture-proof pad.
1719115233	E5aKCp4zp	一次不忠百次不用 [冰河世纪迪亚哥]	NULL	A hundred times without ice age infidelity [Diego]
1719995193	E5CMKCpgW	学到了，原来表情包风格是如此产生的  为什么图片反复压缩后会普遍会变绿而不是其他颜色？ - 29 个回答, 835 人关注  （想看更多？下载  App： )	NULL	Learned, the original expression package style is so produced why the picture after repeated compression will generally become green rather than other colors? - 29 answers, 835 people are concerned about (want to see more? Download App:)
1719995193	E5petzfV6	[挖鼻][挖鼻]在训练靶场掉线了	NULL	Nose, nose [] in the training range dropped
1720478467	E5kdNChxC	 对于那些说什么【袁腾飞老师说过，历来黄种人整黄种人是最狠的。】我听完这句也觉得有道理：日本人真可恶，作为黄种人还在中国上演南京大屠杀。	NULL	For those who say what [Yuan Tengfei teacher said, has always been the whole yellow yellow best. I heard this sentence] feel justified: Japanese really hateful, as people still China staged the Nanjing massacre.
1720618097	E5Q4SdHPQ	我正在看 完整版：王健林-让中国标准成为世界标准  	NULL	I'm looking at the full version: Wang Jianlin - let the Chinese standard become the world standard
1723488074	E5y3lyT0P	借儿子的光，看完了冰5，收官之作以一个完美的大团圆结局阐述着美国人一贯对待家庭和友谊的态度，很喜欢这种美国式温馨家庭的感觉，有笑点，有泪点。2002年到2016年5部，小松鼠继续和坚果做着斗争，我们却早已不再年轻。 	NULL	By the sons of light, watching the ice 5, ending with a perfect ending of Americans has always treated family and friendship attitude, very love this American family warm feeling, with tears bursting point, point. From 2002 to 2016 5, the little squirrel continued to struggle with nuts, but we were no longer young.
1723488074	E5nA0fxkd	宁静的时刻[月亮] 	NULL	A quiet moment [moon]
1724331284	E5XRelSLW	每次开锁屏我都觉得我很酷[奥特曼]	NULL	I think I'm cool [Altman] every time I lock the lock.
1724331284	E4Rvc5ytl	不想喝粥[口罩]	NULL	Do not want to drink porridge [mask]
1725315233	E5RUdjMuo	如果我都可以跟你一样就好了 就好似习惯独立 喜欢一个人一样继续独来独往	NULL	If I can talk with you as a person to love the habit of independent out of contact with anyone
1725315233	E5EfAFNqS	今天我的「微博等级」又升一级，记录一下我在微博的成就	NULL	Today, my "micro-blog grade" or another level, to record what I have achieved in micro-blog
1725657494	E54Dszse7	  为大家准备了8月最大规模的礼物爆弹活动! 限量版布朗熊台灯、T恤还有各种新品大派送! 不要错过这么好的机会哦~[心]  	NULL	For August the largest gift bomb activities for you! The limited edition Brown bear lamp, T-shirts and a variety of new products delivery! Don't miss such a good chance Oh ~ ~ heart]
1726475900	E5cfkBOSj	稍息，立正，向右看齐，向右转。。。。。。。小明，说你多少遍，你还左右不分	NULL	At ease, attention, xiangyoukanqi, turn right....... Xiao Ming, say you how many times, you still left and right
1727351234	E5PMJ1xV8	无理取闹，胡说八道，信口开河，无可奈何。	NULL	No nonsense, nonsense, helpless.
1727351234	E5OJSe7vB	……听了两集倾世皇妃，简直玛丽苏中的苏玛丽[眼泪][眼泪][眼泪]	NULL	...... Listen to the two introduction of the princess, Marysu was in tears, tears, tears Sumali []
1727561717	E5D08nqHW	要连起来看你们知道吗[doge]	NULL	To connect to see you know what [doge]
1727561717	E4UZ7gWQT	安利一个手游【The Guides】，忘了啥时候下的，今天突然想起，玩了玩结果……一发不可收拾！！！全程无剧情，彻头彻尾百分百纯粹的破解密码，难度有，蛮烧脑，里头还自带截屏工具，据说所有图片拼起来会是一个故事	NULL	Amway a hand travel [Guides The], forget what time under, today suddenly remembered, playing the results...... A get out of hand!!! Without the whole story, out and out 100 pure password, difficulty, brute burn brain, it also comes with a screenshot tool, it is said that all the pictures together is a story
1728424567	E5MT1bti7	昨晚梦到宝贝儿要上的幼儿园说我们没有报名   梦里那个焦灼啊   [笑cry][笑cry][笑cry] 	NULL	To the kindergarten baby dream last night that we did not dream for the anxious ah cry][cry][cry] [laughs laugh laugh
1728551374	E5pgmisXZ	雖然社會逐漸在磨去我們的菱角[微笑]但係我地依然還是十年前認識的我們[傻笑]嗯[doge]什麼都亂說一通[偷笑]今日噶金句係：心態其實好重要[喵喵] 祝李先生明天回美國一路逆風 歡迎黃小姐凱旋歸來[鼓掌] 	NULL	Although in our society gradually to water [smile] but I still still knew ten years ago we [laughs] well what [doge] are irresponsibly [laughing] today Gajin sentence system: attitude is important [] wish Mr. Li meow back tomorrow the way America wind welcome Miss Huang [triumphant return applause.]
1728551374	E4VvCA1Fm	 😆難得來尖沙咀當然要食個豚王😋 	NULL	To Tsim Sha Tsui to eat a rare butao course
1728637841	E5D1dnCv0	iOS版本的火狐浏览器做的体验比Chrome和Safari都要好用，浏览以及个人化定制都不错，尤其是标签页切换做的非常惊艳。它在手机端市场占有率只有个位数很大一部分原因是由于发力太晚，但是这并没有阻止它称为一枚优秀的手机浏览器。	NULL	IOS version of Firefox do experience than Chrome and Safari are better for browsing and personal customization are good, especially the tab switching do amazing. It is in the mobile phone market share only a large part of the reason is because the force is too late, but this does not stop it is called a good mobile browser.
1730169964	E5QjRecfT	 12号斩男色试色[可爱]	NULL	12, cut the test color 'cute' videotape
1730169964	E5NqnjqFK	没看过电影版但我只想说杨颖一点都不像大学生啊明显显老！爽妹子演技大发啊把学生妹的纯情俏皮羞涩演绎的淋漓尽致！可惜就是太瘦了没料。本来我是喜欢鱼饼苏志燮这类很man的型男，对杨洋这种奶油小生是拒绝的！可是十来集看下来直接秒了老夫的少女心！大爱郑爽杨洋这对cp啊！ 	NULL	Have not seen the film version, but I just want to say that Angela Baby is not a bit like college students obviously show the old! Cool girl acting ah the student sister pure playful interpretation of the most incisive shy! Unfortunately, no material is too skinny. I love this kind of fish cake Su Zhixie man refused to metrosexual man, Yang Yang this naiyouxiaosheng! But in ten seconds I look down directly girl heart! Big love Yang Yang Zheng Shuang this to CP ah!
1731092300	E4Rkf30CC	突然怀念在超星大家一起工作的日子。	NULL	Suddenly miss together we work in the day of the superstar.
1731337501	E5VIsgwGi	从成都到攀枝花的快递都要走两天，我真是[doge][doge][doge]还是中通、顺丰快	NULL	From Chengdu to Panzhihua express is to take two days, I was still in the pass, SF fast [doge][doge][doge]
1731337501	E5VuYA1sB	美好的早晨就这样开始了[喵喵]	NULL	Good morning began [] meow
1731587592	E4QY1qkVq	[微笑]真的不要随便羡慕高考改革 只有经历过的人才知道 第一届小白鼠都多懵逼	NULL	[smile] really don't envy the college entrance examination reform only experienced people know the first mice are forced Meng
1733087734	E5MqUiJ2u	完了，觉得又要找王医生送钱去了[衰]	NULL	It is over, think again to find Dr. Wang sent money to the "bad"
1733343104	E52NNF8Hq	心里跟吃了蝇子一样，为什么我的人生旅途总是充满荆棘，自己被刺的满身伤痕还要继续往前走， 我真的累了，好想一下子喝醉再也不要醒来，我还能说什么，我还能做什么，我就是个傻子，什么事情从我嘴里说出去这里都可以搞砸啊啊啊啊啊啊啊啊，妄加揣测其实是最可怕的，真相往往并不是你想的那么不堪	NULL	The heart to eat flies, why my life journey is full of thorns, he stabbed the scars will continue to move forward, I'm really tired, I want a drunk and never woke up, what can I say, what can I do, I was a fool, what to say out from my mouth here can mess up ah ah ah ah ah ah ah ah, speculate in fact is the most terrible, the truth often do not you think so.
1733418177	E5mBo99nN	如果不是夜色太凉，如果不是风太慌张，如果不是眼神太亮，那一定是我攒足了好运，才等到你温暖的回望。	NULL	If the night is not too cold, if the wind is not too nervous, if not look too bright, it is I save enough luck, wait until you warm back.
1733418177	E5eUr6G0z	你满脑子都四诗和远方<br/>但四就四么人和你喧慌	NULL	You are full of poetry and the distance four <br/> but the four and 41 people and make you panic
1733822365	E5dnw2S1v	求林星辰耽美密室里的所有本子啊哈哈哈[笑cry]	NULL	For all the stars in the backroom Book Lin Danmei ah ha ha ha laugh [cry]
1733853844	E5mJkpdBL	现在人真有意思，一边喊着祖国万岁，支持国货，一边为小孩各种海淘。	NULL	Now people interesting, while shouting long live the motherland, to support domestic products, while for the children of various sea amoy.
1733853844	E5fbw7THU	又停电了，哎	NULL	And the power was off again.
1733934811	E5WWHe2rm	[樱花] 140522 戴着帽子穿得粉嫩嫩的 敲可爱的小孩子[羞嗒嗒][羞嗒嗒]【预览都好看[大哭][大哭]	NULL	[cherry] 140522 hat wearing pink and tender and lovely children [knock blah blah] [shame shame [] [] [preview. Crying cry]
1733934811	E5RlAypEy	肚子一直叫 现在才想起来没吃晚饭 好饿怎么办[大哭][大哭][大哭][大哭]	NULL	The stomach has been called just now what to do. [] [] [cry cry cry cry] no dinner hungry
